Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2022-0020-BRA,2022,0020,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,Minas Gerais,"Heavy rains, La Nina","Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,1,1,2022,1,14,15,32,,,32,,,,,50000,,,1,677,,Minas Gerais (Adm1).
2022-0065-BRA,2022,0065,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,Sao Paulo state,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,1,1,2022,2,4,35,12,3000,,3012,,,,,65000,,,1,689,,Sao Paulo (Adm1).
2022-0089-BRA,2022,0089,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Miracema, Laje do Muriae, Santo Antonio de Padua, Italva and Itaocara municipalities (Rio de Janeiro state)",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,,2022,2,13,2022,2,16,272,197,15000,886,16083,,,,,25000,,,1;2,671;676,6442;9925;9926;9930;9938;9963,"Distrito Federal, Mato Grosso Do Sul (Adm1). Italva, Itaocara, Laje Do Muriae, Miracema, Santo Antonio De Padua, Sao Jose Da Laje (Adm2)."
2022-0109-COL,2022,0109,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,"San Pablo, Los Andes, Santa Cruz, Túquerres. (Nariño Department)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,2,18,2022,2,22,1,,1650,,1650,,,,,,,,2,,14095;14113;14117;14123,"Los Andes, San Pablo, Santa Cruz, Tuquerres (Adm2)."
2022-0097-DEU,2022,0097,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Dudley' (Ylenia),Germany,DEU,Western Europe,Europe,"Brocken, Kahler Asten; North Rhine-Westphalia; Lower Saxony, Saxony-Anhalt",,Flood,,Yes,,,,152,Kph,,,,,2022,2,16,2022,2,17,3,,,,,,,,,,,,,,,
2022-0081-DNK,2022,0081,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Malik' (Nadia),Denmark,DNK,Northern Europe,Europe,,,Surge,,,,,,,Kph,,,,,2022,1,28,2022,1,31,1,3,,,3,,,,,,,,,,,
2022-0027-AFG,2022,0027,EQ-2022-000008,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Qadis (Badghis province) Ghor and Hirat provinces,,,,,,,,5,Richter,34.929,63.621,16:10,45 km E of Qala i Naw,2022,1,17,2022,1,17,28,4,,4000,4004,,,,,,,,1;2,280;282,99954,"Ghor, Hirat (Adm1). Qadis (Adm2)."
2022-0060-AFG,2022,0060,,Natural,Hydrological,Landslide,Avalanche,,,Afghanistan,AFG,Southern Asia,Asia,Kunar Province,,,,,,,,,,,,,,2022,2,7,2022,2,7,19,,,,,,,,,,,,,,,
2022-0105-ARG,2022,0105,WF-2022-000173,Natural,Climatological,Wildfire,,,,Argentina,ARG,South America,Americas,"Santo Tomé, Ituzaingo, San martin, General Alvear, San Miguel (Corrientes Province)",,,,,,Yes,,,Km2,,,,,2022,1,,2022,3,11,,,124085,,124085,,,,,730000,,,2,,4602;4605;4614;4615;4617,"General Alvear, Ituzaingo, San Martin, San Miguel, Santo Tome (Adm2)."
2022-0046-AUS,2022,0046,,Natural,Hydrological,Flood,,,,Australia,AUS,Australia and New Zealand,Oceania,Eastern Queensland,Remanant Tropical Cyclone Seth,,,,,,,,Km2,,,,,2022,1,8,2022,1,8,2,,200,,200,,,,,75000,,,1,473,,Queensland (Adm1).
2022-0103-AUS,2022,0103,,Natural,Hydrological,Flood,,,,Australia,AUS,Australia and New Zealand,Oceania,"Mount Glorious, Bracken Ridge, Clontarf, Cooran, Pomona, Alderley, Lower Springbrook, Brisbane, Gympie , Sunshine Coast, Gold Coast i(south-eastern Queensland); Uki, Kunghur, Rosebank, Rous River, Nimbin, Mullumbimby, Bentley, Nana Glen , Blackbutt , Sydney , Warragamba (New South Wales)",Heavy rains,,,,,Yes,,,Km2,,,,Brisbane and Mary Rivers,2022,2,22,2022,3,3,22,,54000,,54000,,,3700000,,5900000,,,1;2,470,154667;154693,"New South Wales (Adm1). Gold Coast (C), Sunshine Coast (R) (Adm2)."
2022-0112-BEL,2022,0112,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Eunice' (Zeynep),Belgium,BEL,Western Europe,Europe,,,,,,,,,,Kph,,,,,2022,2,18,2022,2,18,2,,,,,,,,,,,,,,,
2022-0102-BOL,2022,0102,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,O'Connor Province (Tarija Department),Heavy rains,,,,,,,,Km2,,,,,2022,2,20,2022,2,22,60,,375000,,375000,,,,,,,,2,,40541,Burnet O'Connor (Adm2).
2022-0004-CHN,2022,0004,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Lijiang, Ninglang Yi, Yulong Naxi (Yunnan)",,,,,,,,5,Richter,,,,,2022,1,2,2022,1,2,,30,29000,,29030,,,,,51000,,,1,929,,Yunnan Sheng (Adm1).
2022-0045-CHN,2022,0045,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Haibei, QingHai, Zhangye, Gansu, Ningxia, Qinghai Province",,,,,,,,7,Richter,37.828,101.29,01:45,,2022,1,8,2022,1,8,,9,26490,,26499,,,,,510000,,,,,,
2022-0001-CHN,2022,0001,,Natural,Hydrological,Landslide,Landslide,,,China,CHN,Eastern Asia,Asia,Bijie City (Guizhou Province),,,,,,,,,,,,,,2022,1,3,2022,1,3,13,3,,,3,,,,,,,,2,,13068,Bijie (Adm2).
2022-0073-COL,2022,0073,,Natural,Hydrological,Landslide,Landslide,,,Colombia,COL,South America,Americas,La Esnada District of Pereira City (Risaralda department),Heavy rains,,,,,,,,,,,,,2022,2,1,2022,2,8,19,34,9117,,9151,,,,,,,,1,959,,Risaralda (Adm1).
2022-0121-COL,2022,0121,,Natural,Hydrological,Landslide,Landslide,,,Colombia,COL,South America,Americas,"Urabá, Turbo, Apartadó, Chigorodó, Carepa, Mutatá, Murindó, Cocorná Municipality (Antioquia Department); Caldas and Chocó; Cauca, Cundinamarca, Chocó, Huila, Tolima, the Coffee Region, Nariño and Santander",Heavy rains,,,,,Yes,,,,,,,,2022,3,1,2022,3,15,22,21,21500,,21521,,,,,,,,1;2,944;946;952;955;961;963,13352;13366;13371;13375;13377;13410;13411;13453,"Cauca, Choco, Huila, Narino, Santander, Tolima (Adm1). Apartado, Caldas, Carepa, Chigorodo, Cocorna, Murindo, Mutata, Turbo (Adm2)."
2022-0081-CZE,2022,0081,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Malik' (Nadia),Czech Republic (the),CZE,Eastern Europe,Europe,,,,,,,,,,Kph,,,,,2022,1,28,2022,1,31,1,,,,,,,,,,,,,,,
2022-0097-CZE,2022,0097,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Dudley' (Ylenia),Czech Republic (the),CZE,Eastern Europe,Europe,Sn?žka,,,,,,,,181,Kph,,,,,2022,2,16,2022,2,17,,3,,,3,,,,,,,,,,,
2022-0081-DEU,2022,0081,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Malik' (Nadia),Germany,DEU,Western Europe,Europe,,,,,,,,,,Kph,,,,,2022,1,28,2022,1,31,1,2,,,2,,,,,,,,,,,
2022-0112-DEU,2022,0112,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Eunice' (Zeynep),Germany,DEU,Western Europe,Europe,,,,,,,,,,Kph,,,,,2022,2,18,2022,2,18,3,,,,,,,,,,,,,,,
2022-0130-DOM,2022,0130,,Natural,Hydrological,Flood,Flash flood,,,Dominican Republic (the),DOM,Caribbean,Americas,Puerto Plata Province,Heavy rains,,,,,,,,Km2,,,,,2022,3,5,2022,3,6,,,210,,210,,,,,,,,1,1125,,Puerto Plata (Adm1).
2022-0068-ECU,2022,0068,FL-2022-000164,Natural,Hydrological,Flood,,,,Ecuador,ECU,South America,Americas,"Guayas, Cotopaxi, El Oro and Los Ríos; Quito (Pichincha)",Heavy rains,,,,,,,,Km2,,,,,2022,1,28,2022,2,7,29,52,7270,,7322,,,,,50000,,,1;2,1140;1141;1147;22005,15512,"Cotopaxi, El Oro, Guayas, Los Rios (Adm1). Quito (Adm2)."
2022-0014-PAK,2022,0014,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Pakistan,PAK,Southern Asia,Asia,Punjab Province,,Snow/ice,Cold wave,,,,,,Kph,,,,,2022,1,7,2022,1,8,22,,,,,,,,,,,,1,2276,,Punjab (Adm1).
2022-0026-PER,2022,0026,VO-2022-000005,Natural,Geophysical,Volcanic activity,Ash fall,,Hunga-Tonga-Hunga-Ha'apai,Peru,PER,South America,Americas,Ventanilla district,,Tsunami/Tidal wave,Oil spill,,,Yes,,,,,,,,2022,1,15,2022,1,15,2,,,,,,,,,,,,,,,
2022-0032-MDG,2022,0032,,Natural,Hydrological,Flood,,,,Madagascar,MDG,Eastern Africa,Africa,Antananarivo (Analamanga Region),Tropical Storm named Ana,"Slide (land, mud, snow, rock)",Lightening,,,,,,Km2,,,,,2022,1,17,2022,1,18,34,2,62112,,62114,,,,,,,,2,,154522,Antananarivo Atsimondrano (Adm2).
2022-0133-ECU,2022,0133,,Natural,Hydrological,Flood,,,,Ecuador,ECU,South America,Americas,"Cotopaxi, Azuay, Chimborazo, El Oro, Esmeraldas, Guayas, Los Ríos, Pichincha Provinces",Torrential rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,3,7,2022,3,8,,,600,,600,,,,,,,,1,1135;1139;1140;1141;1147;22005;22006,,"Azuay, Chimborazo, Cotopaxi, El Oro, Guayas, Los Rios, Pichincha (Adm1)."
2022-0011-IDN,2022,0011,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Jayapura City (Papua Province); East Java,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,1,10,2022,1,11,10,,6500,,6500,,,,,,,,2,,73685,Jayapura (Adm2).
2022-0136-IDN,2022,0136,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Purworejo and Kebumen regencies (Java); Balikpapan City (East Kalimantan),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,3,14,2022,3,17,4,3,16000,,16003,,,,,,,,,,,
2022-0058-PER,2022,0058,,Natural,Hydrological,Flood,Flash flood,,,Peru,PER,South America,Americas,Machu Picchu Pueblo District (Cusco Department),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,1,21,2022,1,23,1,,500,,500,,,,,,,,1,2335,,Cusco (Adm1).
2022-0013-FJI,2022,0013,C-2022-000007,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Cody',Fiji,FJI,Melanesia,Oceania,"Tavua Town, Nadi City (Viti Levu)",,Flood,,,,,,74,Kph,,,,,2022,1,8,2022,1,11,1,,69564,,69564,,,,,25000,,,,,,
2022-0061-MDG,2022,0061,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Batsirai',Madagascar,MDG,Eastern Africa,Africa,"Fianarantsoa and Ambositra ; Manakara Atsimo, Ikongo District (Fitovinany Region); Nosy-Varika, Mananjary (Vatovavy Region)",,Flood,,,,,,235,Kph,,,,,2022,2,5,2022,2,7,121,,143718,,143718,,,,,,,,1;2,41757,154515;154577;154612;154613;154614;154615,"Atsimo Atsinanana (Adm1). Ambositra, Fianarantsoa I, Ikongo, Manakara Atsimo, Mananjary, Nosy-Varika (Adm2)."
2022-0052-MOZ,2022,0052,TC-2022-000161,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Ana',Mozambique,MOZ,Eastern Africa,Africa,"Nampula, Zambezia, Tete , Cabo Delgado, Sofala, Niassa provinces.",,Flood,,,,,,100,Kph,,,,,2022,1,24,2022,1,25,38,207,185429,,185636,,,,,,,,1,2112;2118;2119;2120;2121;2122,,"Cabo Delgado, Nampula, Niassa, Sofala, Tete, Zambezia (Adm1)."
2022-0137-MOZ,2022,0137,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Gombe',Mozambique,MOZ,Eastern Africa,Africa,"Nampula, Zambezia, Sofala, Beira,Tete and Niassa provinces",,Flood,,,,,,185,Kph,,,,,2022,3,11,2022,3,14,63,108,736015,,736123,,,,,,,,1,2118;2119;2120;2121;2122,,"Nampula, Niassa, Sofala, Tete, Zambezia (Adm1)."
2022-0137-MWI,2022,0137,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Gombe',Malawi,MWI,Eastern Africa,Africa,"Nsanje, Chikwawa, Phalombe, Machinga, Mangochi districts.",,Flood,,,,,,,Kph,,,,,2022,3,11,2022,3,14,7,,,,,,,,,,,,2,,19322;19325;19328;42175;42177,"Chikwawa, Machinga, Mangochi, Nsanje, Phalombe (Adm2)."
2022-0112-FRA,2022,0112,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Eunice' (Zeynep),France,FRA,Western Europe,Europe,"Pas-de-Calais, Nord, Seine-Maritime, Manche departments",,,,,,,,,Kph,,,,,2022,2,18,2022,2,18,,28,,,28,,,,,,,,2,,16250;16277;16306;16307,"Manche, Nord, Pas-de-Calais, Seine-Maritime (Adm2)."
2022-0081-GBR,2022,0081,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Malik' (Nadia),United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,Scotland,,,,,,,,,Kph,,,,,2022,1,28,2022,1,31,2,,,,,,,,,,,,,,,
2022-0097-GBR,2022,0097,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Dudley' (Ylenia),United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,"Cumbria, North Yorkshire, and Lancashire; Scotland, West Midlands County",,,,,,,,130,Kph,,,,,2022,2,16,2022,2,17,1,,,,,,,,,,,,,,,
2022-0112-GBR,2022,0112,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Eunice' (Zeynep),United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,,,,196,Kph,,,,,2022,2,18,2022,2,18,3,,,,,,,,,,,,,,,
2022-0092-GTM,2022,0092,,Natural,Geophysical,Earthquake,Ground movement,,,Guatemala,GTM,Central America,Americas,"Escuintla, Baja Verapaz, Chimaltenango, Guatemala, Quetzaltenango, Sacatepéquez, Sololá, Suchitepéquez and Totonicapán departments",,,,,,,,6,Richter,14.228,-91.343,01:12,,2022,2,16,2022,2,16,3,2,31300,,31302,,,,,,,,1,64821;64823;64824;64825;64827;64828;64829;64830;64835,,"Baja Verapaz, Chimaltenango, Escuintla, Guatemala, Quetzaltenango, Sacatepéquez, Solola, Suchitepéquez, Totonicapan (Adm1)."
2022-0086-HND,2022,0086,,Natural,Hydrological,Flood,,,,Honduras,HND,Central America,Americas,"Cortés, Atlántida and Islas de la Bahía",Heavy rains,,,,,,,,Km2,,,,,2022,2,14,2022,2,15,,,1800,,1800,,,,,,,,1,1420;1425;1429,,"Atlantida, Cortes, Islas De Bahia (Adm1)."
2022-0057-HTI,2022,0057,,Natural,Geophysical,Earthquake,Ground movement,,,Haiti,HTI,Caribbean,Americas,Nippes Department,,,,,,,,5,Richter,18.494,-73.3,09:06,,2022,1,24,2022,1,24,2,52,15,950,1017,,,,,,,,1,72912,,Nippes (Adm1).
2022-0130-HTI,2022,0130,,Natural,Hydrological,Flood,Flash flood,,,Haiti,HTI,Caribbean,Americas,Limbé Arrondissement,Heavy rains,,,,,,,,Km2,,,,,2022,3,5,2022,3,6,2,,500,,500,,,,,,,,2,,17191,Limbe (Adm2).
2022-0069-HTI,2022,0069,,Natural,Hydrological,Flood,,,,Haiti,HTI,Caribbean,Americas,"North-West, North, North-East and Nippes Departments",Heavy rains,,,,,,,,Km2,,,,,2022,1,30,2022,1,31,5,,12500,,12500,,,,,,,,1,1412;1413;1414;72912,,"Nippes, Nord, Nord Est, Nord Ouest (Adm1)."
2022-0012-IDN,2022,0012,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Maluku Province,,,,,,,,6,Richter,,,04:59,,2022,1,10,2022,1,10,,2,300,,302,,,,,,,,1,73615,,Maluku (Adm1).
2022-0042-IDN,2022,0042,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Banten, Jawa Barat",,,,,,,,7,Richter,-6.86,105.289,16:05,,2022,1,14,2022,1,14,,1975,13415,,15390,,,,,,,,,,,
2022-0115-IDN,2022,0115,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Pasaman Regency, West Pasaman Regency (West Sumatra Province)",,,,,,,,6,Richter,0.216,100.096,08:39,,2022,2,25,2022,2,25,15,388,24000,515,24903,,,,,,,,,,,
2022-0087-IDN,2022,0087,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Tegal Regency (Central Java Province); Bengkalis Regency (Riau Province, Sumatra Island); Gresik Regency (East Java Province); West Kalimatan",Heavy rains,,,,,,,,Km2,,,,,2022,2,10,2022,2,15,1,,14700,,14700,,,,,,,,,,,
2022-0120-IDN,2022,0120,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Banten Province (western Java), Central Java, East Java",Heavy rains,,,,,,,,Km2,,,,,2022,2,27,2022,3,2,5,,31800,,31800,,,,,,,,,,,
2022-0112-IRL,2022,0112,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Eunice' (Zeynep),Ireland,IRL,Northern Europe,Europe,,,,,,,,,,Kph,,,,,2022,2,18,2022,2,18,1,,,,,,,,,,,,,,,
2022-0002-IRN,2022,0002,FL-2022-000002,Natural,Hydrological,Flood,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Kerman, Fars, Khuzestan, Hormozgan, Bushehr, Sistan and Baluchestan",Heavy rains,,,,,,,,Km2,,,,,2022,1,1,2022,1,4,6,14,20000,,20014,,,,,,,,1,1540;1544;1548;1550;1551;1559,,"Bushehr, Fars, Hormozgan, Kerman, Khuzestan, Sistan-o baluchestan (Adm1)."
2022-0044-IRN,2022,0044,,Natural,Hydrological,Flood,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Kerman province,,,,,,,,,Km2,,,,,2022,1,15,2022,1,21,,1,18000,,18001,,,,,,,,1,1550,,Kerman (Adm1).
2022-0100-KOR,2022,0100,,Natural,Climatological,Wildfire,,,,Korea (the Republic of),KOR,Eastern Asia,Asia,Yeongdeok County (North Gyeongsang Province); Hapcheon County; Goryeong County; Gangwon Provinces; Uljin and Samcheok cities,Strong winds and dry atmospheric conditions,,,,,,,,Km2,,,,,2022,2,15,2022,3,7,,,,1080,1080,,,,,,,,,,,
2022-0052-MDG,2022,0052,TC-2022-000161,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Ana',Madagascar,MDG,Eastern Africa,Africa,Analamanga region,,,,,,,,,Kph,,,,,2022,1,22,2022,1,25,55,,131555,,131555,,,,,,,,1,41752,,Analamanga (Adm1).
2022-0099-MDG,2022,0099,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Dumako',Madagascar,MDG,Eastern Africa,Africa,Analanjirofo Region,,,,,,,,75,Kph,,,,,2022,2,15,2022,2,16,14,,9900,,9900,,,,,,,,1,41753,,Analanjirofo (Adm1).
2022-0101-MDG,2022,0101,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Emnati',Madagascar,MDG,Eastern Africa,Africa,Androka Municipality (Atsimo-Andrefana Region),,,,,,,,140,Kph,,,,,2022,2,23,2022,2,24,15,,51300,,51300,,,,,15000,,,1,41756,,Atsimo Andrefana (Adm1).
2022-9123-MHL,2022,9123,DR-2022-000176,Natural,Climatological,Drought,Drought,,,Marshall Islands (the),MHL,Micronesia,Oceania,"Aur, Ailinglaplap, Ailuk, Jabot, Jaluit, Lae, Lib, Likiep, Maloelap, Mejit, Mejjato/Ebadon, Namdrik, Namu, Utrok, Ujae, Wotho, Wotje",,,,,,,,,Km2,,,,,2022,1,,2022,3,,,,9326,,9326,,,,,,,,,,,
2022-0099-MOZ,2022,0099,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Dumako',Mozambique,MOZ,Eastern Africa,Africa,"Zambezia, Nampula, Niassa,Tete, Sofala, and Manica provinces",,,,,,,,66,Kph,,,,,2022,2,18,2022,2,18,14,,23733,,23733,,,,,,,,1,2115;2118;2119;2120;2121;2122,,"Manica, Nampula, Niassa, Sofala, Tete, Zambezia (Adm1)."
2022-0061-MUS,2022,0061,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Batsirai',Mauritius,MUS,Eastern Africa,Africa,,,,,,,,,151,Kph,,,,,2022,2,2,2022,2,2,1,,139,,139,,,,,,,,,,,
2022-0052-MWI,2022,0052,TC-2022-000161,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Ana',Malawi,MWI,Eastern Africa,Africa,"Nsanje, Chikwawa districs",,,,,,Yes,,,Kph,,,,,2022,1,22,2022,1,25,64,206,945728,,945934,,,,,,,,2,,19322;19328,"Chikwawa, Nsanje (Adm2)."
2022-0119-MYS,2022,0119,,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,"Kelantan, Pahang, and Terengganu",Heavy rains,,,,,,,,Km2,,,,,2022,2,25,2022,2,28,6,,26000,,26000,,,,,240,,,1,1893;1897;1904,,"Kelantan, Pahang, Terengganu (Adm1)."
2022-0131-MYS,2022,0131,,Natural,Hydrological,Flood,,,,Malaysia,MYS,South-Eastern Asia,Asia,"Kuala Lumpur, Melaka, Negeri Sembilan; Gombak, Hulu Langat, Kuala Langat, Petaling and Sepang (Selangor)",Heavy rains,,,,,,,,Km2,,,,,2022,3,6,2022,3,7,,,1290,,1290,,,,,,,,1;2,1894;1895;1896,37390;37454;37457;37459;37461;37462,"Kuala Lumpur, Melaka, Negeri Sembilan (Adm1). Gombak, Hulu Perak, Kuala Langat, Petaling, Sepang, Ulu Langat (Adm2)."
2022-0112-NLD,2022,0112,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Eunice' (Zeynep),Netherlands (the),NLD,Western Europe,Europe,,,,,,,,,,Kph,,,,,2022,2,18,2022,2,18,4,,,,,,,,,,,,,,,
2022-0081-NOR,2022,0081,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Malik' (Nadia),Norway,NOR,Northern Europe,Europe,Rogaland and Vestland counties,,,,,,,,,Kph,,,,,2022,1,28,2022,1,31,,,,,,,,,,,,,1,2256,,Rogaland (Adm1).
2022-0079-PER,2022,0079,,Natural,Geophysical,Earthquake,Ground movement,,,Peru,PER,South America,Americas,Barranca District (Datem del Marañón Province),,,,,,,,7,Richter,-4.466,-76.928,10:58,,2022,2,3,2022,2,3,,,300,,300,,,,,,,,2,,24132;91842,"Barranca, Datem del Maranon (Adm2)."
2022-0642-IDN,2022,0642,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,South Jakarta; Lhokseumawe City (Aceh); Palopo City (South Sulawesi); Palembang City (South Sumatra),Heavy rains,Collapse,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,,2022,10,4,2022,10,9,10,2,40000,,40002,,,,,,,,,,,
2022-0427-GEO,2022,0427,FL-2022-0002261,Natural,Hydrological,Flood,,,,Georgia,GEO,Western Asia,Asia,"Ambrolauri, Tkibuli, Kutaisi, Senaki, Poti, Khobi, Zugdidi, Dusheti, Tianeti, Kazbegi",Heavy rains,Storm,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,,2022,6,21,2022,6,26,,,5200,,5200,,,,,,,,2,,16467;16471;16494;16496;16497;16502;16505;16509,"Ambrolauri, Kazbegui, Khobi, Kutaisi, Poti, Tianeti, Tkibuli, Zugdidi (Adm2)."
2022-0398-JPN,2022,0398,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical depression 'Aere',Japan,JPN,Eastern Asia,Asia,"Unzen, Nagasaki, Arao, Kumamoto, Omuta, Fukuoka prefectures",,Flood,"Slide (land, mud, snow, rock)",,,,,46,Kph,,,,,2022,7,4,2022,7,5,,2,390,,392,,,,,,,,1;2,1670;1676,33778,"Kumamoto, Nagasaki (Adm1). Oomutasi (Adm2)."
2022-0677-LKA,2022,0677,,Natural,Hydrological,Flood,,,,Sri Lanka,LKA,Southern Asia,Asia,"Trincomalee (Eastern Province); Kalutara, Gampaha, Colombo district (Western Province); Hambantota and Galle (Southern Province); Killinochchi (Northern Province); Puttalam (North Western Province); Kandy (Central Province); Kegalle and Rathnapura (Sabaragamuwa)",Heavy rains,Lightening,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,,2022,10,14,2022,10,20,3,2,61467,,61469,,,,,,,,2,,25834;25838;25840;25844;25845;25846;25847;25851;25852;25853;41748,"Colombo, Galle, Gampaha, Hambantota, Kalutara, Kandy, Kegalle, Kilinochchi, Puttalam, Ratnapura, Trincomalee (Adm2)."
2022-0373-FRA,2022,0373,,Natural,Meteorological,Storm,Convective storm,Severe storm,,France,FRA,Western Europe,Europe,"Rouen City (Seine-Maritime Department, Normandy Region); Loir-et-Cher Department (Centre-Val de Loire Region)",,Lightening,Hail,,,,,,Kph,,,,,2022,6,4,2022,6,5,1,15,60000,,60015,,,,,,,,2,,16264;16277,"Loir-et-Cher, Seine-Maritime (Adm2)."
2022-0697-FRA,2022,0697,,Natural,Meteorological,Storm,Convective storm,Severe storm,,France,FRA,Western Europe,Europe,"Normandy, Hauts-de-France, and Bourgogne-Franche-Comté",,Lightening,Hail,,,,,,Kph,,,,,2022,10,23,2022,10,24,,2,300,,302,,,,,,,,1,1251;1252;1257;1258;1265,,"Basse-Normandie, Bourgogne, Franche-Comte, Haute-Normandie, Nord-Pas-de-Calais (Adm1)."
2022-0219-IND,2022,0219,,Natural,Meteorological,Storm,Convective storm,Severe storm,,India,IND,Southern Asia,Asia,Assam State,,Lightening,Flood,,,,,,Kph,,,,,2022,4,1,2022,4,19,20,,95000,,95000,,,,,,,,1,1487,,Assam (Adm1).
2022-0293-IND,2022,0293,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Itanagar distrci (Arunchal Pradesh); Dima Hasao, Cachar, Udalguri District (Assam); East Khasi Hills, Ri-Bhoi Districts (Meghalaya); Nagaland; Bihar; Himachal Pradesh; Madhya Pradesh; Gujarat; Maharasthra",Heavy rains,"Slide (land, mud, snow, rock)",Lightening,,,,,,Km2,,,,Kopili river,2022,5,13,2022,9,13,2035,1260,1300000,,1301260,,,,,,,,1;2,1491;1493;1498;1503;70072;70073;70079,17577;17794;70197,"Arunachal Pradesh, Bihar, Gujarat, Himachal Pradesh, Madhya Pradesh, Maharashtra, Nagaland (Adm1). Cachar, East Khasi Hills, Ri-Bhoi (Adm2)."
